epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6555,0.38641,0.85466,1.27766,0.50439,0.61951,0.5285,0.44636,0.67299,2.62551,0.99131,0.000161905,0.000161905,0.067781
2,37.6532,0.27803,0.83297,1.06047,0.49503,0.74168,0.64472,0.56933,0.568,1.22573,0.83495,0.000322066,0.000322066,0.0346078
3,60.3262,0.27016,0.76368,1.04311,0.46491,0.68548,0.54818,0.48851,0.5342,1.43322,0.8166,0.000475627,0.000475627,0.00142801
4,79.5771,0.2348,0.70607,1.01368,0.67234,0.64739,0.68159,0.62627,0.41053,1.18516,0.67707,0.0004703,0.0004703,0.0004703
5,100.085,0.21653,0.65705,0.98511,0.62426,0.75323,0.71399,0.66205,0.37081,1.18521,0.63652,0.0004604,0.0004604,0.0004604
6,118.826,0.19978,0.67179,0.97244,0.57803,0.60263,0.69171,0.64897,0.35595,1.32896,0.62901,0.0004505,0.0004505,0.0004505
7,139.167,0.19106,0.63867,0.95702,0.45767,0.77693,0.6016,0.58561,0.32162,1.35401,0.57605,0.0004406,0.0004406,0.0004406
8,158.328,0.17426,0.68288,0.95425,0.50227,0.77815,0.64216,0.61733,0.31031,1.24221,0.57387,0.0004307,0.0004307,0.0004307
9,175.749,0.16351,0.634,0.93778,0.55598,0.69028,0.67715,0.66684,0.28683,1.2591,0.55185,0.0004208,0.0004208,0.0004208
10,196.691,0.1563,0.55628,0.94803,0.54519,0.77248,0.69591,0.68452,0.27636,1.12093,0.53317,0.0004109,0.0004109,0.0004109
11,217.366,0.14854,0.56598,0.94634,0.62836,0.63332,0.68198,0.65617,0.30114,1.05573,0.56268,0.000401,0.000401,0.000401
12,235.471,0.15538,0.6011,0.93459,0.60793,0.60951,0.66032,0.63551,0.26476,1.24522,0.51911,0.0003911,0.0003911,0.0003911
13,253.34,0.14612,0.53095,0.92707,0.51165,0.69049,0.63888,0.63099,0.21806,1.27641,0.47982,0.0003812,0.0003812,0.0003812
